favorite_count	full_text	reply_count	retweet_count	predicted_class
2873	"في فاجعة مأساوية و مؤلمة .. 

وفاة 5 أطفال في الأردن بعد نشوب حريق داهم شقتهم ، رغم محاولات والدهم والدفاع المدني لإنقاذهم.
- https://t.co/q7xhAUm1sc"	3105	955	0
3	@AJELNEWS24 الله يرحمهم يارب  والله شي يقطع القلب	0	0	0
2	@iodx18 @AJELNEWS24 الله يربط علي قلبه ويرزقه الصبر والسلوان	0	0	1
161	"@AJELNEWS24 إنا لله و إنا إليه راجعون.
اللهم أجعلهم شفعاءاً لوالديهم وأخلف على والديهم خيراً وأربط على قلوبهم.."	12	29	1
3	@elham2001_56 @AJELNEWS24 اللهم آميين يارب ويرحمهم ويصبر ابوهم وامهم	0	0	0
3	"@AJELNEWS24 خبر يفطر القلـ  ب وتدمع له العين
الله يرحمهم ويغفرلهم ويعفو عنهم ويصبر أهلهم وذويهم ويربط على قلوبهم ويسگنهم فسيح جناته 
               يآآآآرب العالمين
إنا للّٰه وإنا إليه راجعون"	0	0	1
2	@AJELNEWS24 إنا لله وإنا إليه راجعون الله يرحمهم ويسكنهم فسيح جناته والله يصبر أهلهم ويجبرهم ويربط على قلوبهم مصابهم عظيم وفاجعة كبيرة	0	2	1
262	"@AJELNEWS24 لاحول ولا قوة الا بالله 
اللهم إنّا نعوذ بك من فواجع الأقدار، ومن فقد الأهل، ومن حزن القلب، وحرقة الشعور، اللهم إنّا نستودعك أنفسنا وأهلنا ومن نحب واربط على قلوب المفجوعين يارب  واعطيهم الصبر  في مصيبتهم"	13	41	1
6	@reaa120 @AJELNEWS24 اللهم آمين	0	1	1
13	@AJELNEWS24 اسأل الله العلي القدير ان  يلهم والديهم الصبر والسلوان وان يعوضهم خيراً واساله ان يكونو شفعاء لهم ، انّا لله وانّا اليه راجعون .	0	4	0
100	"@AJELNEWS24 الله لا يفجعنا فيمن نحب .
وأسأل الله أن يثبته ويصبره ويعوضه خيرا ممن فقد ."	7	13	0
9	@AJELNEWS24 الله يرحمهم ويصبر ذويهم https://t.co/o3WzyXEf4S	0	7	1
11	"@AJELNEWS24 الحياة ليست هنا
الملتقى الجنة يا صابرين
الملتقى الجنة يا رحماء
الملتقى الجنة ايتها القلوب الطاهره

اللهم اجمعنا بمن نحب في مستقر رحمتك
اللهم اجعل مصاب الدنيا رفعتاً لنا و للمسلمين

عظم الله أجرك ايها الأب الحنون
حزين جداً يا رب اربط على قلوبنا الى ان نلقاك"	0	0	1
60	"@AJELNEWS24 إنّا لله وإنّا إليه راجعون، اللهمّ أجرهم في مصيبتهم واخلف لهم خيراً منهم ,اللهم إجعلهم شفيعين لأبويهما، وارزقهما خيراً مما أخذت منهما
ربنا افرغ عليهم صبرًا و لا تحرمهم أجرهم ولا تفتنهم بعدهم واغفر لهم واجمعهم بهم  في جنات النعيم يا رب العالمين ."	1	14	1
2	@AJELNEWS24 يارب رحمتك عورني قلبي عليهم شلون ابوهم اللهم اربط على قلب والديهم وصبرهم وعوضهم خير واجعلهم شفعاء لهم	0	0	0
3	@dk20255 @mialbadawi @AJELNEWS24 يارووحي الله يجبر كسرك ويجعله شفيع	0	0	1
4	@AJELNEWS24 اللهم انك اخترتهم وقدرت لهم أن يُغادروا هذه الدنيا ليأتون إليك، اللهم ارحمهم واعفُ عنهم وأكرمهم وأفرِحهم بروضةٍ من رياض جنتك، واجعل لهم في قبورهم نورًا، اللهم صبّراً لقلوب والديهم واجمعهم بهم في جنات النعيم.	0	0	1
1	@AJELNEWS24 لاحول ولاقوة إلا بالله الله يرحمهم ويجبر قلب والديهم ويلطف بهم	1	1	1
1	@AJELNEWS24 لا حول ولا قوة الا بالله العلي العظيم إنا لله وإنا إليه راجعون الله يرحمهم ويصبر أهلهم.	1	0	1
332	"@AJELNEWS24 إن الأبناء هم تحويشة العمر للأباء وتحويشة العمر وفلذّات أكبادهم الخمسة ذهبت إلى بارئها مرّة واحدة ولا يوجد ايّ كلام نستطع أن نواسيهم به  فما حدث لا يمكن لأيّ عقل أن يتصوّره أو لأيّ قلب أن يتحمّله 

اتسائل في نفسي كيف هذه الليلة ستمرّ على الأب والأمّ وكيف ايامهم القادمة ستكون https://t.co/5ghJ2on9wa"	119	39	1
