class,tidy_tweet
1,نجوى تستجيب طلب تضيء شمعة نية لشفاء المصابين انفجار
0,السيد حسن المواقف الأحكام المسبقة بشأن الفاجعة اعتمدت قلب الحقائق الميادين انفجار
1,جاء ليذكركم أنكم أمة احدة رحل لله إليه راجعون
1,اللهم انزل فيض لطفك جبرك علي قلوب ذويهم ارحم موتاهم اغفر ارحمهم رحمة السموات الارض مابينهما
0,قرر الإعلام عدم نقل كلمات الرؤساء القادة الزعماء طلب منهم الأفعال الأقوال أغلق الباب كلماتهم فتح المجال لأمهات الضحايا ليقولوا كلمتهم انفجار انفجار انفجار انفجار لبنان بيروت
1,اي الله يقطعون القلب زوجة اخوي قرية يارب تحفظها تحفظ بنتها بتنا شر يوم استودعهم ربي
1,تتواصل جهود فرق الانقاذ المغربية لانقاذ الطفل ريان اللهم فقهم الانقاذه اخرجهم جميعآ سالمين انقذو
1,الله يحفظ لبنان أهلها كلام الوكالة اللبنانية صحيح لأن الإنفجار بالساعات الأولى لحد الأن الله يرحم الميت منهم يشفي المصابين يلطف بحالهم
1,اللهم أخرج صغيرنا ريان ضيق البئر أخرجت يونس بطن الحوت ألهمه الصبر القوة ألهمت أيوب شق طريقا للنفاذ شققت البحر لموسى انقذو
1,سفير المملكة لبنان سفارة المملكة بدأت بإعداد خطة إنقاذ بداية الكارثة انفجار
1,فيات اصابتين عائله احده مصاب الله عون ذويهم الله يصبرهم الردود مدري قلوبها حجر او أطفال مستوعبين الفاجعه الي حلت عليهم جالسين يسئلون يحققون تفاهات الأمور ناسيين صلب الموضوع
1,خرج لمة البئر الى نور الجن اللهم عو طفولته جنان تفنى اجعله شفيعا لوالديه
1,اللهم يامجيب دعوة المظطرين يارحمن الدنيا الآخرة رحيمهما يامن انجيت يونس اخرجته ظلمات البحر بطن الحوت يامن انجيت يوسف غيابة الجب نجي ريان ظلمات البئر حيا سليما رده أهله سالما ارحم طفولته شيبة ابوه قلب أمه يارب لاإله إلاانت سبحانك اني كنت الظالمين
1,قوة أرتداد الأنفجار مرعبة الله يحفظهم بعينه اللتي تنام
0,حسبنا الله الوكيل السبب البلاء الدوله العربيه باسرها
1,لاحول لاقوة بالله الله يغفر لميتهم يرحمهم يشفي مريضهم يجبر قلوب اهلهم
1,حول قوة الا بالله اللهم الطف باخواننا لبنان احفظهم احرسهم بعينك تنام
1,الله ياربي الا كنا حنايا ناس بعاد قلبنا مزير ماقادرينش ننعسو الله قلب ماماه باباه ياااربي ترجع ليهم لدهم بخير أنقذوا أنقذو
1,لله الامر ان لله ان اليه راجعون
1,ندرك تمام أنه قدر الله ألم يع الأب فداحة اقترف البئر تغطية قس ربما نقترفه حق أنفسنا أهلينا كالقيادة بسرعة نحوها اللهم أهدنا لمافيه خير لمن نعول جنبنا الشرور مسلم اربط قلب الصغير نجه ارحم الراحمين
1,هيه تعتبر شهيدة ألواجب فهيا خرجت منزلها متجهة مقر عملها مثلها الجندي المعركة يعتبر مهمة لحظة تحركه معسكره ميدان المعركة اصيب الطريق أعتبرت إصابة عمل مات نتيجة حادث سير إستهداف العدو أعتبر شهيد إدارة مدرستها متابعة ذالك
1,لله إليه راجعون احسن الله عزاكم يااهلنا بالمغرب العربي الله عون الديه ربط قلوبهم رحمك الله ياريان جعلك الشفعاء لوالديك انا لله انا اليه راجعون
1,الله يرحمه يصبر اهله القلوب اسرت ريان يعرفونك ابتهلو بألسنتهم تعلقو بأسمك ايام فكيف بأهلك اقاربك انا لله انا اليه راجعون
1,لله إليه راجعون لله شئ عنده بأجل مسمى اللهم اغفر ارحمهم عاف اعف عنهم خارجين شهر فضيل سائرين أعظم أبواب البر الله أكبر
1,يالله تحطنا بللسان خالق الله ياناس حادث طبيعي اقدار مقدره الله سبحانه الواحد يكتفي بالدعاء بالصبر السلوان التأويل الدخول مصايب الناس التأليف اتقو الله يامسلمين
1,الله يرحمهم رب يسكنهم فسيح جناته لاقي الا شارع عام يفحط روح الصحراء طلع مهاراتك مو
1,الله يرحمه يجعل شفيع يربط قلب الدينه يخلفهم خيرا
1,خالص التعازي المواساة لأشقائنا لبنان حكومة شعبا جراء حادث الانفجار الأليم قع اليوم بالعاصمة اللبنانية بيروت داعيا المولى عز جل بالشفاء العاجل للجرحى يلهم أسر الضحايا الصبر السلوان
1,لل الم اء الث الب الذ الخ اي الث الأ الدنس فيات محمد
1,انا حاسة انها أية ربنا عشان العالم يشهد بعظمة خالق الخلق قادر حده ينقذ ريان تحيي تميت يامن جعلت أهل الكهف أية للناس أخرجه سالم غانم يارب العالمين أرحم الراحمين انقذوا انقذو
1,الله العالم يعرف فاته الطفل لحكمه لايعلم الا الله
1,شي مقدر مكتوب الفترة بالذات العيد تكثر فيهاالحوادث بسبب السهر لخبطة النوم السرعه عدم الانتباه الله يرحمهم يرحم اموات المسلمين
0,باقي حقها بتاخذها شخص ساهم زواجها بقائها هالمختل الله تجتمع الخصوم
1,كانوا يمهدوا للناس قبلها قالوا الولد خفت حركته ليتهم اخروا البيان يومين الله امداني اصرخ فرح الا التفت عاجل فاة الطفل
1,يارب ريان يصمد لوقت اخراجه يكون عايش
1,الله يرحمها يغفر يسكنها فسيح جناته يجعل قبرها روضة رياض الجنة يلهم اهلها ذويها الصبر السلوان انا لله انا اليه راجعون
0,رأيي الشخصي السجن لهاذا الشخص كافي ابدا قتل عمد بسبب التفحيط الاستهتار بأرواح البشر ارى بأنه يستحق القصاص ليكون عظه عبره لمن لايعتبر يقدر ارواح الله ان تكون ارواح بشر
0,هارت انسلاخ ثقافي انعدام شخصية
1,اللهم اربط قلوب ذويه الهمهم الصبر السلوان الثبات المصيبة يارب
0,مو معقولة طاح طفل بئر يجلسون ايام يحفرون تكون النتيجة مأساويه اتمنى يلقون حل لهذي الحوادث الله يرحمه يصبر اهله
1,تم ذكر ان ضعية الطفل تغيرت اصبح ظهره للكاميرا لايتحرك للاسف تلميح اضح لوفاته البارحة لاحول لاقوة الا بالله
0,فرددناه أمه تقر تحزن يارب الحمد
1,سبحانك ربي أعظمك أحن ألطفك سبحانه القائل فرددناه أمه تقر عينها تحزن
1,الله يحمينا يحميهم شر ربشكله مخزن ذخيرة تستبعد دامه منطقة صناعية قريب المساكن يكون لحزب الشيطان الله يمحيهم الارض هالمفسدين اتمنى يكون هالحادث المؤلم ضربة موجعة لابوالصواويخ نصراللات يجعل دماء الضحايا ذمته عنقه يوم الدينلاحول لاقوةالا بالله
1,اللهم احفظ الاسلام المسلمين لاخواني المسلمين بكل مكان اي دوله اي لون اخوه المحال ان نتمنى الهلاك الدمار لاحد اخذوا بعين الاعتبار ان اسرائيل لاتحاربكم بالسلاح فقط بدس الفتن بحسابات هميه
1,حسبنا الله الوكيل الله يحفظ لبنان أهلها مكروه انفجار
1,حول قوة الا بالله الله يشفيهم يرحم مات منهم يجبر مصاب اهلهم
1,الله يرحمها الله المعلمات يعانون المسافات الطويله هاذي نتايجها وزاره التعليم ملتزمين الصمت
1,المعلمة غصون رحمها الله اسكنها فسيح جناته كانت شهرها التاسع متبقي لادتها ايام بسيطه
1,رحمها الله غفر اسكنها فسيح جناته السؤال سيتم معاملتها معاملة اسرتها معاملة شهداء الواجب زارة السعودية
1,حول قوة الا بالله العلي العظيم الله يثبته السؤال جعلها جنات النعيم اللهم تفجعنا بأنفسنا أهلنا نعوذ مصائب الدنيا تقلب حوادثها المستغاث التوكل حول قوة الا بالله العلي العظيم يصبر أهله رب
1,موت بسبب حوادث السيارات اصبح اقل النصف السابق السبب الأنظمة المرورية وسائل الأمان قبلها ستر الله حفظه
